school_code,school_name,enlorment,student_teacher_ratio,location,gpa
s3470,ABBEY SECONDARY SCHOOL,11.0,12:1,,2.8788
s0784,AIRWING SECONDARY SCHOOL,97.0,16:1,,2.8927
s3914,ALFAGEMS SECONDARY SCHOOL,299.0,35:1,,3.0131
s3532,ACACIA SECONDARY SCHOOL,37.0,13:1,,2.3796
s0182,AL-FAROUQ SEMINARY,13.0,9:1,,3.0513
s4217,ALGEBRA ISLAMIC SEMINARY,27.0,17:1,,2.6296
s4502,AFRICAN TABATA HIGH SCHOOL,30.0,10:1,,3.2083
s2153,AQUINAS SECONDARY SCHOOL,42.0,25:1,,2.4008
s0184,AGAPE LUTHERAN JUNIOR SEMINARY,76.0,17:1,,2.0373
s1523,AGAPE MBAGALA SECONDARY SCHOOL,4.0,13:1,,3.2917
s4007,AGUSTIVO SECONDARY SCHOOL,16.0,15:1,,2.4792
s1519,ARUSHA TURKISH MAARIF SECONDARY SCHOOL,34.0,12:1,,2.402
s4645,ALLIANCE BOYS' SECONDARY SCHOOL,7.0,13:1,,2.3611
s3881,AHMES SECONDARY SCHOOL,121.0,11:1,,1.5084
s4836,ALLIANCE GIRLS SECONDARY SCHOOL,9.0,17:1,,2.9444
s2378,AIRPORT SECONDARY SCHOOL,46.0,18:1,,2.3651
s0101,AZANIA SECONDARY SCHOOL,159.0,19:1,,3.0222
s2549,ALPHA SECONDARY SCHOOL,138.0,12:1,,2.5362
s0351,BAGAMOYO SECONDARY SCHOOL,442.0,23:1,,2.6951
s0948,BUMANGI SECONDARY SCHOOL,100.0,17:1,,2.035
s1599,BAOBAB SECONDARY SCHOOL,309.0,11:1,,2.377
s0264,BARBRO-JOHANSSON SECONDARY SCHOOL,106.0,16:1,,2.2374
s1757,BENDEL MEMORIAL SECONDARY SCHOOL,100.0,13:1,,2.7626
s0960,BENJAMIN WILLIAM MKAPA HIGH SCHOOL,405.0,20:1,,3.1348
s0235,BUKUMBI SECONDARY SCHOOL,13.0,13:1,,2.5
s0305,BULUBA SECONDARY SCHOOL,52.0,16:1,,3.2981
s0202,BWIRU GIRLS' SECONDARY SCHOOL,438.0,20:1,,2.414
s4619,CALL AND VISION SECONDARY SCHOOL,15.0,14:1,,2.8889
s0686,CHATO SECONDARY SCHOOL,211.0,25:1,,2.3349
s2325,CANOSSA SECONDARY SCHOOL,167.0,14:1,,1.7984
s0419,CHOME SECONDARY SCHOOL,8.0,18:1,,1.9792
s0883,DONBOSCO-DIDIA SECONDARY SCHOOL,23.0,12:1,,3.2971
s0668,DAKAWA HIGH SCHOOL,224.0,14:1,,2.572
s0308,ENABOISHU SECONDARY SCHOOL,71.0,16:1,,2.1549
s0629,EDMUND-RICE-SINON SECONDARY SCHOOL,120.0,17:1,,3.0472
s1450,EFATHA SEMINARY,102.0,15:1,,2.9281
s0189,FEZA BOYS' SECONDARY SCHOOL,86.0,11:1,,1.6705
s0298,FEZA GIRLS' SECONDARY SCHOOL,77.0,11:1,,1.7706
s1285,FLORIAN SECONDARY SCHOOL,133.0,0:1,,3.3183
s0142,GALANOS SECONDARY SCHOOL,430.0,15:1,,2.4054
s0291,GHOMME SECONDARY SCHOOL,18.0,11:1,,1.951
s2178,GOLDEN RIDGE SECONDARY SCHOOL,44.0,10:1,,2.2538
s4565,GILI SECONDARY SCHOOL,87.0,10:1,,2.4636
s2516,GRACE SECONDARY SCHOOL,12.0,20:1,,2.3056
s1197,GREEN ACRES SECONDARY SCHOOL,10.0,10:1,,3.5833
s4351,GENDA SECONDARY SCHOOL,64.0,10:1,,2.4317
s4555,GLORIOUS SECONDARY SCHOOL,35.0,13:1,,3.5524
s1409,HAGAFILO SECONDARY SCHOOL,5.0,18:1,,2.6667
s4875,HAYATUL ISLAMIYA SECONDARY SCHOOL,58.0,10:1,,2.7993
s3630,HOLLYWOOD SECONDARY SCHOOL,26.0,20:1,,2.6944
s1642,HERI SECONDARY SCHOOL,11.0,13:1,,2.3333
s4193,HARRISON UWATA SECONDARY SCHOOL,48.0,12:1,,1.9653
s4964,HERITAGE SECONDARY SCHOOL,13.0,17:1,,1.9359
s0256,HURUMA GIRLS' SECONDARY SCHOOL,56.0,13:1,,2.2679
s0110,ILBORU SECONDARY SCHOOL,163.0,12:1,,1.5956
s0370,IFAKARA SECONDARY SCHOOL,281.0,23:1,,3.1174
s5379,ISTIQAAMA TANGA ISLAMIC SECONDARY SCHOOL,29.0,11:1,,1.9483
s0276,IFUNDA GIRLS' SECONDARY SCHOOL,321.0,28:1,,2.5867
s0108,IFUNDA TECHNICAL SECONDARY SCHOOL,391.0,13:1,,2.7662
s1032,ITIGI SECONDARY SCHOOL,114.0,20:1,,2.3816
s0580,IGOWOLE SECONDARY SCHOOL,136.0,22:1,,2.0931
s0713,IGUNGA SECONDARY SCHOOL,104.0,31:1,,1.7516
s0681,IVUMWE SECONDARY SCHOOL,191.0,42:1,,1.9127
s0313,IKIZU SECONDARY SCHOOL,62.0,15:1,,2.7339
s0203,IRINGA GIRLS' SECONDARY SCHOOL,275.0,12:1,,2.7222
s2348,ILALA ISLAMIC SECONDARY SCHOOL,32.0,13:1,,2.0625
s0461,JOHN PAUL II KAHAMA SECONDARY SCHOOL,15.0,17:1,,2.8778
s0283,JOHN THE BAPTIST SECONDARY SCHOOL,9.0,11:1,,2.4815
s4628,JIFUNZENI SECONDARY SCHOOL,35.0,13:1,,2.0931
s3241,JOSIAH GIRLS' HIGH SCHOOL,22.0,16:1,,2.6212
s0204,JANGWANI SECONDARY SCHOOL,113.0,19:1,,3.292
s0748,KAWAWA SECONDARY SCHOOL,55.0,15:1,,2.7939
s0119,KIBAHA SECONDARY SCHOOL,163.0,12:1,,1.4167
s0188,KIRINJIKO ISLAMIC SEMINARY,75.0,15:1,,2.9369
s4631,KAIZIREGE SECONDARY SCHOOL,162.0,13:1,,2.0988
s0205,KIBOSHO GIRLS' SECONDARY SCHOOL,64.0,20:1,,3.2604
s1268,KISIMIRI SECONDARY SCHOOL,107.0,16:1,,1.8443
s0167,KIDUGALA LUTHERAN SEMINARY,19.0,20:1,,2.537
s2010,KIFAI MODERN SECONDARY SCHOOL,16.0,16:1,,3.3438
s0224,KIFUNGILO GIRLS' SECONDARY SCHOOL,40.0,17:1,,2.2625
s2315,KANDOTO SAYANSI GIRLS SECONDARY SCHOOL,10.0,22:1,,3.2333
s0120,KIGONSERA SECONDARY SCHOOL,535.0,30:1,,2.5287
s0473,KANYIGO SECONDARY SCHOOL,38.0,13:1,,2.3114
s0387,KARAGWE SECONDARY SCHOOL,45.0,0:1,,2.4593
s0862,KONGEI SECONDARY SCHOOL,6.0,12:1,,2.25
s0364,KARATU SECONDARY SCHOOL,496.0,16:1,,2.4533
s0209,KOROGWE GIRLS' SECONDARY SCHOOL,388.0,13:1,,2.2433
s0206,KILAKALA SECONDARY SCHOOL,88.0,13:1,,1.822
s0241,KOWAK GIRLS' SECONDARY SCHOOL,11.0,13:1,,2.1364
s0622,KUNDUCHI GIRLS' ISLAMIC HIGH SCHOOL,30.0,20:1,,3.2701
s0249,LORETO GIRLS' SECONDARY SCHOOL,29.0,17:1,,2.1609
s0927,LANGASANI SECONDARY SCHOOL,85.0,25:1,,3.0941
s0800,LOYOLA SECONDARY SCHOOL,96.0,15:1,,2.9063
s1645,LUBALA SECONDARY SCHOOL,52.0,26:1,,2.5359
s3536,LILIAN KIBO SECONDARY SCHOOL,12.0,12:1,,2.6806
s4928,LIVINGSTONE BOYS' SECONDARY SCHOOL,8.0,12:1,,3.2292
s3941,LUGUFU GIRLS' SECONDARY SCHOOL,231.0,19:1,,3.0066
s0113,MAFINGA SEMINARY,19.0,10:1,,2.7544
s0214,MSALATO SECONDARY SCHOOL,154.0,13:1,,1.737
s1278,MBEZI SECONDARY SCHOOL,147.0,33:1,,2.3082
s2359,MAGHABE SECONDARY SCHOOL,31.0,24:1,,2.2312
s0729,MSOLWA SECONDARY SCHOOL,77.0,11:1,,2.0216
s2180,MAGNIFICAT SECONDARY SCHOOL,41.0,17:1,,2.1375
s1261,MERRIWA SECONDARY SCHOOL,37.0,20:1,,2.5766
s0443,META SECONDARY SCHOOL,36.0,0:1,,2.5725
s0446,MGOLOLO SECONDARY SCHOOL,79.0,14:1,,2.3819
s0731,MAKONGO SECONDARY SCHOOL,82.0,16:1,,2.3476
